algorithm,metric,delta_avg,delta_pct_avg,wins,losses,ties
historic-load,total_minutes,-93.65633333333335,-13.15838124948814,30,0,0
historic-load,total_km,-21.743666666666666,-34.59449005357958,30,0,0
historic-load,search_moves,8.1,46.12730618646968,12,18,0
historic-load,total_cost_eur,-35.86366666666667,-17.104221233828216,30,0,0
historic-load,co2_kg,-17.28533333333333,-34.59345990160784,30,0,0
ev-route,total_minutes,-30.243666666666677,-4.372451815199578,28,2,0
ev-route,total_km,-12.124333333333333,-18.855216791334787,30,0,0
ev-route,search_moves,-7.466666666666667,4.572340408083881,16,14,0
ev-route,total_cost_eur,-16.18933333333333,-7.68637141635349,29,1,0
ev-route,co2_kg,-9.638666666666667,-18.8551193759688,30,0,0
